A,B,C,D,E,F,G,H
05:13PM,05:16PM,05:18PM,05:25PM,05:30PM,05:39PM,05:50PM,05:58PM
05:29PM,05:32PM,05:34PM,05:41PM,05:46PM,05:54PM,06:03PM,06:10PM
05:43PM,05:46PM,05:48PM,05:55PM,06:00PM,06:08PM,06:17PM,06:24PM
05:58PM,06:01PM,06:03PM,06:10PM,06:15PM,06:23PM,06:32PM,06:39PM
06:17PM,06:20PM,06:22PM,06:29PM,06:34PM,06:42PM,06:51PM,06:58PM
06:47PM,06:50PM,06:52PM,06:58PM,07:03PM,07:11PM,07:19PM,07:26PM
07:12PM,07:15PM,07:17PM,07:23PM,07:28PM,07:36PM,07:44PM,07:51PM
07:42PM,07:45PM,07:47PM,07:53PM,07:58PM,08:06PM,08:14PM,08:21PM
08:12PM,08:15PM,08:17PM,08:23PM,08:28PM,08:36PM,08:44PM,08:51PM
08:42PM,08:45PM,08:47PM,08:53PM,08:58PM,09:06PM,09:14PM,09:21PM
09:12PM,09:15PM,09:17PM,09:23PM,09:28PM,09:36PM,09:44PM,09:51PM
09:42PM,09:45PM,09:47PM,09:53PM,09:58PM,10:06PM,10:14PM,10:21PM
10:18PM,10:21PM,10:22PM,10:27PM,10:31PM,10:37PM,10:44PM,10:50PM
10:48PM,10:51PM,10:52PM,10:57PM,11:01PM,11:07PM,11:14PM,11:20PM
11:19PM,11:22PM,11:23PM,11:27PM,11:31PM,11:37PM,11:44PM,11:50PM
